Category,Subcategory,Amount,Notes
Above the Line,Story Rights/Writer,250000,WGA minimum + purchase
Above the Line,Director,400000,
Above the Line,Producers (3),600000,
Above the Line,Lead Cast (4),1200000,No A-list attached yet
Below the Line - Production,Line Producer,150000,
Below the Line - Production,Cinematographer,120000,
Below the Line - Production,Production Design,350000,Including deep-sea station set
Below the Line - Production,Locations,200000,
Below the Line - Production,Marine Unit,0,NOT BUDGETED
Below the Line - Production,Aerial Unit,0,NOT BUDGETED
Below the Line - Production,Grip & Electric,280000,
Below the Line - Production,Camera Equipment,180000,
Below the Line - Production,Sound,90000,
Below the Line - Production,Wardrobe/Makeup,120000,
Below the Line - Production,Extras/Background,60000,
Below the Line - Post,VFX,2100000,45 shots estimated
Below the Line - Post,Editing,180000,
Below the Line - Post,Sound Design/Mix,220000,
Below the Line - Post,Music/Score,150000,
Below the Line - Post,Color Grading,80000,
Insurance & Legal,E&O Insurance,0,NOT BUDGETED
Insurance & Legal,Production Insurance,85000,
Insurance & Legal,Legal,75000,
Insurance & Legal,Completion Bond,0,NOT BUDGETED
Other,Contingency,300000,~4.1% of total
Other,Overhead/Office,120000,
Other,Travel & Transportation,250000,
TOTAL,,7260000,
